"ACRES" "HA"
"KS" 8500 3439.95
"OK" 4700 1902.09
"TX" 3500 1416.45
"WA" 1750 708.225
"CO" 1700 687.99
"NE" 1650 667.755
"MT" 1630 659.661
"SD" 1250 505.875
"Other" 1105 447.1935
"MO" 930 376.371
"IL" 900 364.23
"OH" 890 360.183
"OR" 780 315.666
"ID" 700 283.29
"MI" 640 259.008
"AR" 620 250.914
"NC" 460 186.162
"IN" 440 178.068
"KY" 380 153.786
"CA" 320 129.504
"TN" 280 113.316
"WI" 225 91.0575
"GA" 190 76.893
"SC" 180 72.846
"VA" 180 72.846
"MD" 145 58.6815
"MS" 135 54.6345
"PA" 135 54.6345
"NY" 100 40.47
"DE" 47 19.0209
